Athlete,overall_rank,overall_score,X14_1_rank,X14_1_score,X14_2_rank,X14_2_score,X14_3_rank,X14_3_score,X14_4_rank,X14_4_score,X14_5_rank,X14_5_score,region,gender
Scott Stalling,44,475,104,356,134,199,106,146,73,198,58,11:16,southwest,m
Andrew Cifelli,45,476,90,357,134,199,56,149,112,197,84,11:31,southwest,m
Drew Pollner,46,478,52,366,172,196,62,148,144,195,48,11:11,southwest,m
Jorge Aragon,47,483,15,393,58,207,256,141,148,195,6,09:58,southwest,m
mason hollingsworth,48,485,178,350,58,207,182,143,41,201,26,10:44,southwest,m
A J Bales,49,487,151,352,58,207,195,143,61,199,22,10:34,southwest,m
Matt Johnson,50,503,48,369,13,268,268,141,66,198,108,11:46,southwest,m
Bobby Solano,50,503,137,353,31,251,143,145,70,198,122,11:53,southwest,m
Robbie Davis,52,509,79,358,103,202,13,156,261,192,53,11:14,southwest,m
Kane Share,52,509,137,353,77,204,59,149,73,198,163,12:17,southwest,m
Brando Cunningham,54,511,30,386,181,195,187,143,97,197,16,10:21,southwest,m
Brian Francis,55,527,90,357,48,240,308,140,46,200,35,10:59,southwest,m
Ryan Laframboise,55,527,104,356,91,203,112,146,117,196,103,11:43,southwest,m
Macenzy Daggy,57,536,90,357,160,197,4,167,211,193,71,11:25,southwest,m
Scott Queen,57,536,21,391,181,195,61,149,181,194,92,11:36,southwest,m
Chase Heywood,59,544,414,323,3,320,33,151,44,200,50,11:12,southwest,m
Michael Hanna,60,548,178,350,46,243,107,146,101,197,116,11:50,southwest,m
Rika Diedericks,1,18,2,358,11,127,1,163,1,187,3,12:06,africa,f
Nicole Seymour,2,26,7,314,2,142,12,142,4,183,1,11:51,africa,f
Mary Jamieson,3,27,4,335,5,136,5,149,11,182,2,11:53,africa,f
Lara Erlank,4,33,6,315,5,136,15,140,2,187,5,12:27,africa,f
Janine Prinsloo,5,72,33,269,9,130,4,152,6,183,20,14:20,africa,f
Dina Swift,6,78,3,349,50,81,3,152,17,180,5,12:27,africa,f
Holly Myers,7,98,43,266,1,171,7,147,13,181,34,15:02,africa,f
Anishce Venter,8,103,1,359,50,81,25,136,18,180,9,13:43,africa,f
Cindy Ellis,8,103,43,266,7,131,23,137,12,182,18,14:15,africa,f
Tasquane Hufkie,8,103,17,304,38,83,10,143,15,181,23,14:25,africa,f
Janine Penniall,11,107,17,304,13,123,29,135,3,184,45,15:33,africa,f
Wilna Appel,12,115,26,280,3,137,21,137,7,183,58,16:03,africa,f
Chantal Kruger,13,119,21,301,38,83,13,142,16,180,31,14:52,africa,f
Lariska de Bruyn,14,126,5,330,10,128,14,140,27,180,70,16:33,africa,f
Sibyl Cooke,14,126,28,275,25,114,19,138,37,179,17,14:10,africa,f
Natalie Mohr,16,140,17,304,38,83,16,139,22,180,47,15:36,africa,f
Celestie Engelbrecht,17,142,33,269,3,137,9,144,37,179,60,16:07,africa,f
Suzie Assenmacher,18,144,38,268,30,86,55,130,9,183,12,13:52,africa,f
Kelly Fisher,19,145,9,310,55,79,18,138,48,175,15,14:02,africa,f
Estevan Strauss,20,146,12,308,33,85,30,135,26,180,45,15:33,africa,f
Kerin Schwartz,21,155,9,310,19,119,38,133,71,169,18,14:15,africa,f
Toni Siwela,22,162,60,261,38,83,17,139,34,180,13,13:57,africa,f
Annelize Raath,23,168,56,262,17,121,8,145,19,180,68,16:32,africa,f
Justine Phillips,24,174,33,269,27,110,65,126,33,180,16,14:05,africa,f
Zandri Potgieter,25,175,45,265,11,127,61,129,10,183,48,15:37,africa,f
Heike Kotze,26,184,64,260,19,119,40,133,20,180,41,15:26,africa,f
Susan Claassen,27,194,22,296,21,116,89,117,35,180,27,14:39,africa,f
Lindsay Duvenage,28,195,16,305,92,63,21,137,37,179,29,14:40,africa,f
Lientjie Saaiman,29,203,41,267,30,86,97,114,25,180,10,13:51,africa,f
Beatrix Large,30,204,20,302,59,78,2,155,8,183,115,18:27,africa,f
Odette Calitz,31,209,38,268,38,83,109,111,14,181,10,13:51,africa,f
nicole scott,32,210,38,268,47,82,34,134,57,173,34,15:02,africa,f
Twani Smith,33,220,70,257,18,120,80,121,28,180,24,14:28,africa,f
Eva Thornton,34,223,30,270,7,131,85,118,29,180,72,16:37,africa,f
Ellie Hagopian,35,241,131,215,33,85,32,135,31,180,14,14:00,africa,f
Vicky Polydorou,36,247,12,308,118,39,53,130,60,172,4,12:25,africa,f
Charlotte van der haer,37,251,68,259,59,78,26,136,57,173,41,15:26,africa,f
Anneke De Beer,38,256,27,276,13,123,145,108,44,177,27,14:39,africa,f
Chrizelda Horn,39,262,54,263,50,81,31,135,48,175,79,16:47,africa,f
Kelly Geyer,40,264,53,264,62,77,75,122,48,175,26,14:37,africa,f
Diane Hope,41,270,60,261,65,76,36,134,54,174,55,15:59,africa,f
Lane Grobbelaar,42,273,9,310,75,68,71,123,79,164,39,15:20,africa,f
Natasha King,43,284,45,265,36,84,152,106,43,178,8,13:24,africa,f
Yolandie Dixon,44,286,30,270,38,83,58,130,72,168,88,17:07,africa,f
Gina Goosen,45,292,23,292,92,63,35,134,60,172,82,16:56,africa,f
Kirsten Burgess,46,305,88,237,70,73,56,130,48,175,43,15:27,africa,f
Izelle Le Roux,47,306,74,255,136,37,24,137,23,180,49,15:40,africa,f
Michelle Louw,47,306,45,265,38,83,99,113,37,179,87,17:06,africa,f
Charnè Smyth,49,308,56,262,47,82,94,115,54,174,57,16:01,africa,f
Elzke de Goede,50,310,64,260,50,81,37,134,115,156,44,15:28,africa,f
Jane Van der Merwe,51,318,68,259,21,116,66,125,79,164,84,17:02,africa,f
Anmarie van der Walt,52,329,33,269,68,74,98,113,67,170,63,16:24,africa,f
Kirsty-Jane Elliott,53,332,93,232,65,76,63,128,47,176,64,16:25,africa,f
Sherilee Strauss,54,339,77,254,47,82,45,131,84,162,86,17:04,africa,f
Tamarr Schroeder,55,350,72,256,28,87,47,131,65,171,138,19:22,africa,f
Johanni Hugo,56,351,33,269,16,122,194,102,32,180,76,16:45,africa,f
Jancke Rentel,57,356,45,265,99,61,100,113,73,165,39,15:20,africa,f
Flavia Busacker,58,364,56,262,55,79,112,111,109,157,32,14:58,africa,f
Jeanine Knipe,59,380,129,216,130,38,11,143,73,165,37,15:17,africa,f
Josie De Rose,60,383,139,214,24,115,122,110,44,177,54,15:55,africa,f
Marlene Andersson,1,8,1,348,1,194,1,182,2,189,3,11:30,asia,f
Eva Clarke,2,25,2,344,9,136,11,144,1,189,2,10:43,asia,f
Yuko Sakuyama,3,32,2,344,5,139,9,144,15,182,1,10:28,asia,f
Vanessa Fung,4,63,13,311,3,141,5,148,8,183,34,13:42,asia,f
Inger Larsen,5,77,4,338,30,114,21,140,12,182,10,12:46,asia,f
Crystal Sullivan,6,83,20,307,8,137,12,144,4,185,39,13:49,asia,f
Katherine Althoff,7,85,46,284,14,130,14,143,5,185,6,12:01,asia,f
Candice Ford,8,95,15,309,5,139,28,138,3,187,44,13:57,asia,f
Carrie Freestone,9,107,23,306,10,135,44,133,17,181,13,12:54,asia,f
Jenniffer Scott,10,108,11,312,17,129,53,132,7,184,20,13:10,asia,f
Courtney Worthington,11,109,7,322,5,139,31,137,42,180,24,13:16,asia,f
Laura Apollonio Bergen,12,111,28,304,12,133,40,134,11,183,20,13:10,asia,f
Joanne Thorpe,13,112,15,309,61,80,16,143,16,181,4,11:39,asia,f
Karla Larson,14,125,11,312,10,135,36,135,37,180,31,13:40,asia,f
Shark Lee,15,170,20,307,56,81,10,144,23,180,61,14:30,asia,f
Licia Passin,16,177,20,307,40,86,17,142,36,180,64,14:39,asia,f
Laura Matthews,17,178,30,303,70,79,26,138,28,180,24,13:16,asia,f
Hannah Mitchell,18,179,45,285,49,83,29,137,34,180,22,13:13,asia,f
Kristen Johnson,19,181,44,287,33,112,4,149,22,180,78,15:04,asia,f
Linda Huynh,20,190,51,277,27,116,52,132,45,180,15,12:56,asia,f
sarah stewart,21,197,23,306,113,72,23,139,25,180,13,12:54,asia,f
Loriedana Ballesteros,22,202,56,270,40,86,55,132,21,181,30,13:31,asia,f
Kaylee Martin,23,205,41,291,18,126,15,143,10,183,121,16:10,asia,f
Meg Tucker,24,208,52,276,23,121,62,131,13,182,58,14:24,asia,f
Choi Mi-Jung,25,213,81,264,19,124,37,135,19,181,57,14:22,asia,f
Gemma Lee,26,215,14,310,13,132,148,112,9,183,31,13:40,asia,f
Moe Sakio,26,215,18,308,19,124,88,129,14,182,76,15:01,asia,f
Katie Olson,28,221,9,315,25,118,90,127,50,180,47,13:59,asia,f
Marianne Gates,29,223,39,292,91,76,34,136,24,180,35,13:43,asia,f
Stephanie Cherrstrom,30,226,88,263,14,130,32,136,53,180,39,13:49,asia,f
Song Hee Jung,31,253,56,270,2,182,149,112,39,180,7,12:13,asia,f
Gyeonghae Shin,32,262,41,291,70,79,41,134,64,180,46,13:58,asia,f
Jung Dawon,33,269,8,321,108,73,38,135,40,180,75,14:58,asia,f
HEEJUNG CHO,34,298,25,305,40,86,159,111,43,180,31,13:40,asia,f
Jennifer Albee,35,307,88,263,108,73,39,135,55,180,17,13:00,asia,f
Marissa Ramirez,36,318,4,338,183,39,86,129,29,180,16,12:57,asia,f
Philippa Morris,37,319,71,266,121,70,18,141,50,180,59,14:26,asia,f
Juria Maree,38,339,77,265,49,83,49,133,20,181,144,16:37,asia,f
Caitlin Gerrity,39,340,101,261,56,81,19,141,27,180,137,16:30,asia,f
Melissa Gut,40,341,56,270,144,63,57,131,30,180,54,14:12,asia,f
Sharone Cohen - Porat,41,346,154,249,21,123,119,118,26,180,26,13:17,asia,f
Kristina Culbertson,42,348,129,256,38,87,60,131,78,177,43,13:54,asia,f
Holly Purdy,43,359,34,300,183,39,66,130,57,180,19,13:06,asia,f
seuli ku,44,362,6,328,103,74,142,113,83,176,28,13:26,asia,f
Sandra Soriano,45,366,118,258,35,111,84,130,44,180,85,15:12,asia,f
Babs Mountain,46,374,71,266,31,113,180,109,50,180,42,13:51,asia,f
Sohee Kim,47,387,77,265,113,72,61,131,67,180,69,14:41,asia,f
Tiffany Yancey,48,391,158,246,33,112,161,111,31,180,8,12:21,asia,f
Ania Krasnopolska,49,392,184,231,70,79,8,145,78,177,52,14:08,asia,f
Lili Urrego,50,396,81,264,52,82,181,109,56,180,26,13:17,asia,f
Christina Nymeyer,51,401,71,266,86,77,50,133,48,180,146,16:38,asia,f
Ariane Sand,52,402,33,301,61,80,204,107,60,180,44,13:57,asia,f
Tamar Merkelson,53,407,56,270,80,78,71,130,95,174,105,15:50,asia,f
Patty Banks,54,410,215,223,45,84,30,137,34,180,86,15:14,asia,f
Alexandra Bessonova,55,417,88,263,80,78,111,121,101,173,37,13:45,asia,f
Naksuj Ssusu,56,421,52,276,70,79,160,111,75,178,64,14:39,asia,f
Adel Weir,57,431,28,304,165,59,74,130,63,180,101,15:44,asia,f
Ryanhee Youn,58,433,56,270,179,52,50,133,59,180,89,15:20,asia,f
Trudy Sturkenboom,59,441,18,308,210,37,126,116,37,180,50,14:06,asia,f
Stephanie Liew,59,441,88,263,37,108,114,120,75,178,127,16:20,asia,f
Ruth Anderson Horrell,1,29,7,397,5,269,4,175,2,217,11,10:12,australia,f
Pip Malone,2,47,6,399,6,265,28,154,3,212,4,09:46,australia,f
Kara Webb,3,68,1,431,1,340,64,149,1,236,1,08:44,australia,f
Denae Brown,4,69,15,390,15,208,29,153,8,197,2,09:06,australia,f
Amanda Allen,5,73,23,382,22,199,19,156,6,198,3,09:45,australia,f
Amy Dracup,6,97,35,360,12,247,33,153,5,202,12,10:13,australia,f
Hahn Nicole,7,103,3,401,41,192,11,164,39,188,9,10:07,australia,f
Jessica Coughlan,8,107,30,372,2,325,55,150,4,204,16,10:22,australia,f
Kate Mitchell,8,107,3,401,25,197,24,155,27,190,28,10:43,australia,f
Ashley Higgins,10,112,26,380,28,196,3,175,17,192,38,11:02,australia,f
Courtney Fitzharris,11,128,35,360,31,195,5,175,16,193,41,11:05,australia,f
Justine Beath,11,128,49,355,11,249,30,153,25,190,13,10:15,australia,f
Vicki Webber,13,131,7,397,10,252,76,147,15,193,23,10:35,australia,f
Dimi Poulos,14,148,22,384,53,187,9,169,57,187,7,10:03,australia,f
Claire Fraser,15,149,35,360,19,202,61,149,10,194,24,10:36,australia,f
Alethea Boon,16,152,62,351,16,207,38,152,9,195,27,10:42,australia,f
Alahna Marshall,17,178,28,377,41,192,45,151,32,189,32,10:46,australia,f
Tracey Stewart,18,185,35,360,77,143,14,159,40,188,19,10:29,australia,f
Rebecca Gowing,19,191,66,350,25,197,49,151,14,194,37,10:59,australia,f
Tia-Clair Toomey,20,197,9,396,41,192,35,152,59,187,53,11:16,australia,f
Melissa Booton,21,220,11,395,55,186,31,153,68,186,55,11:18,australia,f
Emma Hissey,22,236,15,390,34,194,27,154,42,188,118,12:12,australia,f
Brimlea-Jane Smyth,23,249,13,392,46,191,66,148,54,187,70,11:34,australia,f
April Hering,24,251,41,359,50,188,90,146,22,191,48,11:12,australia,f
Jaime Goodwin,25,255,66,350,14,239,77,147,13,194,85,11:49,australia,f
Rachael Cleave,25,255,62,351,31,195,80,147,31,190,51,11:15,australia,f
Penny Kemp,27,259,49,355,3,274,182,142,19,192,6,09:59,australia,f
Jamie Greene,28,266,71,349,7,260,160,142,18,192,10,10:08,australia,f
Alice Tucker,29,273,20,385,39,193,20,156,163,182,31,10:45,australia,f
Beck Smith,30,296,62,351,108,139,16,158,77,185,33,10:51,australia,f
Nicola Hanna,31,302,92,346,22,199,120,144,23,191,45,11:10,australia,f
Stephanie Ortiz,31,302,35,360,34,194,141,143,41,188,51,11:15,australia,f
Rebecca Wright,33,305,49,355,108,139,13,161,65,186,70,11:34,australia,f
Kristie Williams,34,306,62,351,118,138,25,154,55,187,46,11:11,australia,f
Samantha Drescher,34,306,33,363,125,137,60,149,26,190,62,11:27,australia,f
Madeleine Jacques,36,332,24,381,108,139,6,172,180,182,14,10:21,australia,f
Ali Murdoch,37,348,27,379,9,258,278,138,12,194,22,10:34,australia,f
Joelene Neville,38,359,42,358,125,137,8,169,29,190,155,12:34,australia,f
Kate Stewart,39,371,179,315,50,188,71,148,43,188,28,10:43,australia,f
Grace Dallimore,39,371,87,347,50,188,85,146,82,185,67,11:33,australia,f
Lindsay Vaughan,41,381,12,393,4,270,293,137,7,197,65,11:30,australia,f
Rachelle Maatouk,41,381,49,355,67,173,10,165,36,189,219,12:56,australia,f
Lauren Jones,43,395,58,352,138,136,37,152,79,185,83,11:47,australia,f
Evelina Dalecki,44,399,133,334,13,243,175,142,52,187,26,10:41,australia,f
Lisa Lake,45,410,46,356,178,133,2,175,165,182,19,10:29,australia,f
Tamarind Robinson,46,414,151,326,82,142,107,145,21,191,53,11:16,australia,f
Charlotte van Veenendaal,47,427,71,349,25,197,139,143,74,185,118,12:12,australia,f
Tai-anne Blair,48,433,100,345,82,142,1,177,87,185,163,12:38,australia,f
Belinda Murray,48,433,114,344,34,194,161,142,96,184,28,10:43,australia,f
Carly Menzies,50,436,42,358,95,140,153,143,132,183,14,10:21,australia,f
Veronica Torr,51,441,135,333,48,189,51,151,56,187,151,12:33,australia,f
Whitney Teesdale,52,446,179,315,151,135,12,161,99,184,5,09:54,australia,f
Madeline Sturt,53,453,124,339,125,137,50,151,45,188,109,12:05,australia,f
Claire Fernandez,54,470,80,348,61,177,133,144,46,188,150,12:32,australia,f
Darcia Ondrovcik,55,472,92,346,125,137,47,151,133,183,75,11:41,australia,f
Angela Hudson,56,481,2,403,162,134,42,152,268,180,7,10:03,australia,f
Amy Alessi,56,481,71,349,8,259,300,137,24,191,78,11:44,australia,f
Kaitlyn Sheppard,58,482,143,330,95,140,41,152,85,185,118,12:12,australia,f
Kylee Flesher,59,485,71,349,214,131,15,158,126,183,59,11:22,australia,f
Anita Graham,60,503,58,352,41,192,126,144,206,181,72,11:36,australia,f
Camille Leblanc-Bazinet,1,14,2,427,1,404,9,168,1,205,1,08:54,canadaeast,f
Kristine Andali,2,36,12,374,5,266,7,170,10,193,2,09:00,canadaeast,f
Michele Letendre,3,45,1,431,3,333,36,153,2,200,3,09:13,canadaeast,f
Marie-Emilie Perreault,4,63,18,371,11,206,14,159,13,192,7,09:52,canadaeast,f
Britney Holmberg,5,88,32,357,18,199,20,155,9,193,9,10:01,canadaeast,f
Joannie Lebrun,6,113,38,354,36,191,5,175,25,190,9,10:01,canadaeast,f
Shanna Dawley,7,118,5,396,23,196,12,160,5,194,73,11:36,canadaeast,f
Kendra Cross,8,127,22,362,20,197,19,155,17,190,49,11:13,canadaeast,f
Carolyne Prevost,9,136,15,372,58,176,4,176,53,186,6,09:50,canadaeast,f
Maude Charron,10,137,28,358,6,262,62,148,6,194,35,11:00,canadaeast,f
Ericka Letendre,11,144,23,361,13,205,88,145,16,191,4,09:38,canadaeast,f
Elma Ducic,12,148,7,390,55,180,8,170,70,185,8,09:57,canadaeast,f
Lisa Cybulskie,13,152,45,353,43,186,13,159,34,188,17,10:27,canadaeast,f
Jenine Andali,14,156,7,390,30,194,69,147,24,190,26,10:35,canadaeast,f
Raquel Rodriguez,15,165,20,370,62,175,38,152,31,188,14,10:17,canadaeast,f
Julie Villeneuve,16,166,12,374,48,184,24,154,36,187,46,11:10,canadaeast,f
Alexandra Bergeron,17,172,28,358,8,252,114,143,4,195,18,10:28,canadaeast,f
Julie Nadeau,18,180,38,354,33,192,71,147,33,188,5,09:45,canadaeast,f
Nathalie Connors,19,190,4,403,92,138,23,154,37,187,34,10:50,canadaeast,f
Jenn Lymburner,20,198,28,358,15,204,112,143,14,192,29,10:41,canadaeast,f
Annie-Pier Côté,21,205,24,360,75,141,29,153,62,186,15,10:22,canadaeast,f
Karine Shrum,22,211,47,352,82,140,3,181,39,187,40,11:06,canadaeast,f
Perry Hanlon,23,213,38,354,72,142,40,152,44,187,19,10:29,canadaeast,f
Carol-Ann Reason-Thibault,24,217,6,395,105,137,6,175,69,185,31,10:43,canadaeast,f
Ashley Werner,25,222,47,352,50,182,26,154,19,190,80,11:42,canadaeast,f
Laura Hosier,26,230,3,412,33,192,2,181,151,181,41,11:07,canadaeast,f
Marie Laurence Leclair,27,232,7,390,92,138,49,150,71,185,13,10:16,canadaeast,f
Renee Martin,28,234,110,333,15,204,31,153,12,192,66,11:31,canadaeast,f
Jasmine Sheehan,28,234,38,354,69,143,17,156,50,187,60,11:28,canadaeast,f
Jennifer Broxterman,30,237,64,349,38,188,51,150,29,189,55,11:18,canadaeast,f
Christine Kluge,31,242,76,347,58,176,11,160,58,186,39,11:04,canadaeast,f
Stephanie Roy,32,251,79,346,25,195,86,145,8,193,53,11:16,canadaeast,f
AmÃ©lie Gagnon,33,257,12,374,140,133,41,152,48,187,16,10:25,canadaeast,f
Elspeth McKay,34,258,27,359,11,206,101,144,72,185,47,11:12,canadaeast,f
Marie-Eve Pilotte,35,265,24,360,105,137,15,156,32,188,89,11:51,canadaeast,f
Andi Sadowski,35,265,47,352,82,140,80,146,15,191,41,11:07,canadaeast,f
Jamie Collins,37,266,38,354,92,138,30,153,54,186,52,11:15,canadaeast,f
Holly Ada McIlroy,38,276,21,364,72,142,67,148,81,185,35,11:00,canadaeast,f
Emmanuelle Blais,39,277,125,321,43,186,22,154,66,186,21,10:30,canadaeast,f
Lacey Van Der Marel,40,291,79,346,4,269,117,143,3,196,88,11:50,canadaeast,f
Leann Lapp,41,304,95,342,20,197,148,141,11,192,30,10:42,canadaeast,f
Kathleen Laperle,42,309,64,349,52,181,70,147,38,187,85,11:46,canadaeast,f
Annie-Pier Ricard,43,310,18,371,92,138,64,148,68,185,68,11:32,canadaeast,f
Abigail Guerrero,44,315,176,311,2,335,27,153,99,183,11,10:08,canadaeast,f
Marie-Eve Castonguay,45,322,169,312,30,194,33,153,28,189,62,11:29,canadaeast,f
Fanny Girard,46,323,110,333,25,195,55,149,22,190,111,12:14,canadaeast,f
Rachael DeYoung,47,329,34,355,36,191,84,146,55,186,120,12:25,canadaeast,f
Marie-pier Pouliot veilleux,48,333,125,321,45,185,43,152,73,185,47,11:12,canadaeast,f
Isabelle Tardif,49,343,15,372,10,237,179,140,7,194,132,12:34,canadaeast,f
Pamela Evans,50,344,11,377,140,133,52,150,75,185,66,11:31,canadaeast,f
Pam Anstey,51,350,58,350,69,143,117,143,94,184,12,10:14,canadaeast,f
Kristine Hatfield,52,363,52,351,57,177,98,144,83,185,73,11:36,canadaeast,f
Mirakim Couvrette,53,367,45,353,9,245,154,141,60,186,99,12:00,canadaeast,f
Jeanne Robitaille,54,369,52,351,92,138,146,141,47,187,32,10:45,canadaeast,f
Emilie Pfeiffer-Badoux,55,390,101,337,62,175,78,146,42,187,107,12:10,canadaeast,f
Jessica Cote-Beaudoin,56,393,99,339,7,260,138,142,26,190,123,12:28,canadaeast,f
Frédérique Bordeleau,57,398,58,350,92,138,111,143,20,190,117,12:20,canadaeast,f
Melanie Clarke,58,400,114,329,49,183,32,153,86,185,119,12:23,canadaeast,f
Mylene Arsenault,59,411,47,352,121,135,53,150,153,181,37,11:01,canadaeast,f
Amanda Gaiotti,59,411,135,315,87,139,46,151,40,187,103,12:05,canadaeast,f
Delaina Snider,1,12,2,405,5,198,2,179,1,192,2,10:09,canadawest,f
Jayde Quilty,2,22,7,375,3,199,3,175,3,192,6,10:32,canadawest,f
Jolaine Bloom,3,25,1,436,1,254,20,154,2,192,1,09:43,canadawest,f
Whitney Darchuk,4,41,13,357,2,200,8,163,4,191,14,10:59,canadawest,f
Angie Hay,5,61,7,375,9,192,16,155,21,186,8,10:38,canadawest,f
Bonnie Maclean,6,63,5,382,6,195,10,159,31,184,11,10:43,canadawest,f
Emily Abbott,7,66,4,392,41,135,5,171,11,189,5,10:30,canadawest,f
Quintina Morgan,8,79,21,352,7,193,27,152,20,186,4,10:23,canadawest,f
Alex Parker,9,84,12,358,23,143,41,148,5,191,3,10:22,canadawest,f
Taryn Romanowich,10,99,31,345,17,180,32,151,12,189,7,10:35,canadawest,f
Jenn Webber,11,105,25,350,23,143,21,154,6,191,30,11:56,canadawest,f
Crystal Shoff,12,113,3,395,14,189,24,153,56,182,16,11:21,canadawest,f
Chelsea Miller,13,124,6,379,7,193,87,142,10,189,14,10:59,canadawest,f
Emily Beers,14,127,90,310,3,199,13,157,9,189,12,10:55,canadawest,f
Viki Cirkvencic,14,127,55,317,18,179,14,156,21,186,19,11:33,canadawest,f
Sarah Bustard,16,143,31,345,13,190,17,155,8,190,74,12:51,canadawest,f
Tina Popp,16,143,19,353,34,137,38,149,28,185,24,11:44,canadawest,f
Tara Maddigan,18,163,60,315,41,135,7,163,23,186,32,11:58,canadawest,f
Brittany Brown,19,168,52,322,15,187,6,167,25,185,70,12:47,canadawest,f
Alissa Flynn,20,175,41,334,19,178,1,181,14,187,100,13:17,canadawest,f
Crystal Kirby-Peloquin,21,187,21,352,31,138,9,161,27,185,99,13:16,canadawest,f
Krista Pell,22,199,38,339,31,138,28,152,60,182,42,12:15,canadawest,f
Karolina Pawlak,23,207,77,312,34,137,52,146,16,187,28,11:53,canadawest,f
Deanna Fester,24,209,46,331,74,130,51,146,13,188,25,11:46,canadawest,f
Becky Layton,25,226,9,373,41,135,49,146,114,180,13,10:56,canadawest,f
Katie Nadorozny,26,227,15,355,34,137,70,143,43,183,65,12:40,canadawest,f
Nancy McKeage,27,228,18,354,9,192,118,140,7,191,76,12:53,canadawest,f
Gillian Hicks,28,240,40,335,91,127,12,158,19,186,78,12:58,canadawest,f
Samantha Stevenson-Archer,29,245,25,350,161,86,15,155,35,184,9,10:40,canadawest,f
Erica Livett,30,252,41,334,49,134,33,151,17,187,112,13:26,canadawest,f
Sherri Clark,31,254,60,315,31,138,39,149,76,181,48,12:20,canadawest,f
Caileigh McDade,32,255,15,355,19,178,168,136,36,184,17,11:25,canadawest,f
Christina Verhagen,33,265,50,325,110,123,19,154,64,182,22,11:38,canadawest,f
Nancy Rankel-Allen,34,267,118,306,60,132,45,148,15,187,29,11:54,canadawest,f
Ainslie Kehler,34,267,44,332,52,133,42,148,44,183,85,13:03,canadawest,f
Jessica Tillapaugh,36,268,77,312,49,134,40,149,62,182,40,12:14,canadawest,f
Becky Harrison,37,270,29,347,41,135,113,140,26,185,61,12:36,canadawest,f
Karina nowlan,38,272,24,351,52,133,116,140,37,184,43,12:16,canadawest,f
AJ Facendi,39,288,57,316,25,142,111,140,52,183,43,12:16,canadawest,f
Christine Kopr,40,319,74,313,101,125,84,142,24,186,36,12:06,canadawest,f
Melissa Chatigny,41,322,99,309,34,137,104,140,66,182,19,11:33,canadawest,f
jen schneider,42,325,60,315,101,125,85,142,34,184,45,12:18,canadawest,f
Laurissa Dunajski,43,336,35,341,41,135,135,138,88,181,37,12:07,canadawest,f
Amanda Konefal,43,336,77,312,52,133,60,144,69,182,78,12:58,canadawest,f
Alex Sparling,45,341,31,345,91,127,63,144,40,184,116,13:28,canadawest,f
Heather Jaques,46,344,106,307,74,130,4,175,57,182,103,13:21,canadawest,f
Mandy Gill,47,349,15,355,74,130,36,150,71,182,153,13:56,canadawest,f
Riley Karroll,48,363,29,347,84,129,65,144,59,182,126,13:35,canadawest,f
Natalie Duronio,48,363,106,307,41,135,75,142,55,183,86,13:04,canadawest,f
Kristi Jorgenson,50,382,210,285,30,139,54,145,58,182,30,11:56,canadawest,f
Jenn Swagar,51,394,39,338,91,127,74,143,33,184,157,14:00,canadawest,f
Robyn Horner,51,394,53,319,41,135,194,135,53,183,53,12:25,canadawest,f
Amy Speed-Andrews,53,432,57,316,146,87,126,139,68,182,35,12:04,canadawest,f
Kathryn Hegger,54,438,46,331,95,126,155,137,47,183,95,13:14,canadawest,f
Taryn Haggerstone,55,445,106,307,52,133,160,137,89,181,38,12:11,canadawest,f
Alexandra Chretien,55,445,51,323,74,130,122,139,83,181,115,13:27,canadawest,f
Tricia Persson,55,445,60,315,106,124,83,142,116,180,80,13:01,canadawest,f
Angie McNally,58,453,106,307,70,131,102,141,42,183,133,13:44,canadawest,f
Jackie Snell,59,462,145,303,84,129,43,148,74,182,116,13:28,canadawest,f
Jordan Harvie,60,465,155,302,21,176,121,139,100,181,68,12:46,canadawest,f
Michelle Kinney,1,22,8,392,6,264,2,184,2,206,4,09:24,centraleast,f
Jennifer Smith,2,27,3,402,5,265,8,175,4,199,7,09:38,centraleast,f
Julie Foucher,3,31,8,392,1,353,20,160,1,219,1,08:38,centraleast,f
Mikki Nuccio,4,42,1,424,14,244,4,181,20,193,3,09:21,centraleast,f
Lindy Barber,5,53,6,394,7,263,10,175,11,195,19,10:46,centraleast,f
Jessica Martinez,6,103,30,359,24,200,3,182,15,194,31,11:04,centraleast,f
Kristi Eramo,7,124,42,353,17,242,42,156,8,197,15,10:30,centraleast,f
Kelli Cramer,8,125,11,390,22,202,39,156,28,192,25,10:56,centraleast,f
Elyse Kile,8,125,30,359,24,200,13,167,18,194,40,11:12,centraleast,f
Danielle Sidell,10,126,4,395,12,248,1,192,15,194,94,11:51,centraleast,f
Alyssa Ritchey,11,133,50,352,2,275,31,157,35,192,15,10:30,centraleast,f
Lauren Rutan,12,139,11,390,4,267,75,151,47,189,2,09:19,centraleast,f
JoEllyn McAtee,13,145,23,360,53,190,27,158,6,197,36,11:10,centraleast,f
Nicole Holcomb,14,150,22,361,21,204,49,155,46,189,12,10:21,centraleast,f
Cristen Walker,15,152,37,355,28,198,17,162,21,193,49,11:19,centraleast,f
Melissa Wills,16,191,68,349,33,196,22,159,12,195,56,11:23,centraleast,f
Kristin Reffett,17,194,18,367,9,255,57,154,59,187,51,11:22,centraleast,f
Lindsey Kelly,18,203,18,367,20,207,6,175,10,195,149,12:26,centraleast,f
Kyri-Ann Harbrueger,19,221,17,377,30,197,45,155,93,184,36,11:10,centraleast,f
